id,username,created_at,lng,lat,text
1517592512092901376,LOUfromMemphis,Fri Apr 22 19:53:45 +0000 2022,-85.9785995,35.8305215,"@ClayTravis Again, the democratic Party and their media lap dogs will prop him up no matter what. He could be dead… https://t.co/run4wPeDoH"
1517592531164450817,1991Mkb,Fri Apr 22 19:53:49 +0000 2022,-86.6807375,32.576227,"Lord. So here I am, just sitting on my porch watching Bryan as he cuts the grass. And lmaoooo I look across the str… https://t.co/lkj35JrOzL"
1517592542711361539,JessAlv00923584,Fri Apr 22 19:53:52 +0000 2022,-91.06646,30.3878805,"Share a useful appShare a useful app, File Master - document manager https://t.co/oDMkfk5Qi2 https://t.co/jaI7qOmYqt"
1517592625846665217,UMMC_Transplant,Fri Apr 22 19:54:12 +0000 2022,-90.1580165,32.230987,Almost 3000 lives saved!
1517592643156459531,RyanVargas_23,Fri Apr 22 19:54:16 +0000 2022,-86.6807375,32.576227,New hero card alert🤝 https://t.co/uuAYAPewqN
1517592658369150977,tmj_mem_writing,Fri Apr 22 19:54:19 +0000 2022,-90.0489801,35.1495343,"Click the link in our bio to see currently open #SkilledTrade jobs like ""Warehouse Package Handler"" at FedEx Express in #Memphis, TN."
1517592919615623175,ty1of1,Fri Apr 22 19:55:22 +0000 2022,-91.40100849999999,30.937336000000002,Who said that?😒😒😒 don’t nothing in the world top that bob!
1517592941103132677,Maria_ruizxx,Fri Apr 22 19:55:27 +0000 2022,-89.92202900000001,35.1335205,Wait but what about going sky diving for my birthday 🥲
1517592963299397634,thadmcintyre,Fri Apr 22 19:55:32 +0000 2022,-88.9791917,30.4321963,We are looking for a buyer on 2343 Rue Maison #Biloxi #MS  #realestate https://t.co/R5gBDmslC5 https://t.co/GmrSNhaxx1
1517593011856814080,myidolismyrival,Fri Apr 22 19:55:44 +0000 2022,-89.87644900000001,32.571032,"I need 10 mil right now, but I’ll just take this $100 out the atm for a Friday 😂"
1517593034350899200,TyWeezy_,Fri Apr 22 19:55:49 +0000 2022,-91.0907995,30.4591,I gotta update my phone all i see is booku question marks
1517593037836369921,HeightsTiger,Fri Apr 22 19:55:50 +0000 2022,-91.40100849999999,30.937336000000002,@michaelschwab13 Blummer aisle
1517593046531121153,SaniyahX,Fri Apr 22 19:55:52 +0000 2022,-89.92202900000001,35.1335205,@JerseySuave4 Love it!
1517593100314628096,SBurton615,Fri Apr 22 19:56:05 +0000 2022,-85.9785995,35.8305215,Local @wcsRHSfootball star could have a big year at Clemson.
1517593116265484288,tmj_mgm_labor,Fri Apr 22 19:56:09 +0000 2022,-86.7483318,34.6992579,Looking to score a job at Cintas Corporation? You're in luck. Click the link in our bio for the job description and… https://t.co/lyvrfcefgC
1517593155029409799,schofieldkid249,Fri Apr 22 19:56:18 +0000 2022,-92.13127399999999,34.7519365,Heeere's Johnny!
1517593266983776256,seancorr82_8_48,Fri Apr 22 19:56:45 +0000 2022,-86.6807375,32.576227,Getting ready to roll at @TALLADEGA for the @ARCA_Racing practice session https://t.co/tOq4rusl3U
